Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Omcet Syrup 5mg/5ml,14.5,"""ഹിസ്റ്റാമിൻ തടഞ്ഞ് അലർജി ലക്ഷണങ്ങളിൽ നിന്ന് ഫലപ്രദമായ ആശ്വാസം നൽകുന്നു.""","""ഉപയോഗിക്കുന്നതിന് മുമ്പ് കുപ്പി നന്നായി കുലുക്കുക. അളക്കുന്ന കപ്പ് ഉപയോഗിക്കുക. ഡോസേജ് നിർദ്ദേശങ്ങൾ പാലിക്കുക. നിർദ്ദേശിക്കപ്പെട്ട അളവിൽ കൂടുതൽ കഴിക്കരുത്.""","""അലർജിയും സൈനസൈറ്റിസും""","""ഹേ ഫീവർ (അലർജിക് ринит)""","""സിറപ്പ്/ലിക്വിഡ്""",Malayalam
Stopkof Syrup,6.0,"""മൂക്കൊലിപ്പ്, തുമ്മൽ, കണ്ണിൽ നിന്ന് വെള്ളം വരുക തുടങ്ങിയ ചുമ, ജലദോഷ ലക്ഷണങ്ങളെ ഒഴിവാക്കുന്നു.""","""ലേബലിലുള്ള ഡോസേജ് നിർദ്ദേശങ്ങൾ പാലിക്കുക അല്ലെങ്കിൽ നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക.""","""ചുമ, ജലദോഷം, പനി""","""ചുമ""","""സിറപ്പ്/ലിക്വിഡ്""",Malayalam
Cataflam Tablet 50mg,26.0,"""വിവിധ തരത്തിലുള്ള വേദനകൾക്ക് ആൻറി-ഇൻഫ്ലമേറ്ററി, വേദന സംഹാരിയായ ആശ്വാസം നൽകുന്നു.""","""നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക. ദിവസേനയുള്ള ശുപാർശിത അളവിൽ കൂടുതൽ കഴിക്കരുത്.""","""വേദനയും പനിയും""","""പേശി വേദന""","""ഗുളികകൾ""",Malayalam
Cataflam Tablet 50mg,49.0,വിവിധ തരത്തിലുള്ള വേദനകൾക്ക് വീക്കം കുറയ്ക്കുന്നതിനും വേദന സംഹാരിയായുമുള്ള ആശ്വാസം നൽകുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്ന പ്രകാരം കഴിക്കുക. ദിവസേനയുള്ള ശുപാർശിത ഡോസേജ് കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,ഗുളികകൾ,Malayalam
Voltaren Suppositories 12.5mg,8.0,"വേദനയ്ക്കും വീക്കത്തിനും പെട്ടെന്ന് ആശ്വാസം നൽകുന്നു, പ്രത്യേകിച്ചും വായിലൂടെയുള്ള മരുന്ന് സാധ്യമല്ലാത്തപ്പോൾ.",നിർദ്ദേശിച്ച പ്രകാരം ഉപയോഗിക്കുക. മലദ്വാരത്തിലൂടെ മാത്രം ഉപയോഗിക്കുക. ശുപാർശിത ഡോസേജോ കാലയളവോ കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,സപ്പോസിറ്ററികൾ,Malayalam
Voltaren Suppositories 25mg,16.5,"വേദനയ്ക്കും വീക്കത്തിനും പെട്ടെന്ന് ആശ്വാസം നൽകുന്നു, പ്രത്യേകിച്ചും വായിലൂടെയുള്ള മരുന്ന് സാധ്യമല്ലാത്തപ്പോൾ.",നിർദ്ദേശിച്ച പ്രകാരം ഉപയോഗിക്കുക. മലദ്വാരത്തിലൂടെ മാത്രം ഉപയോഗിക്കുക. ശുപാർശിത ഡോസേജോ കാലയളവോ കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,സപ്പോസിറ്ററികൾ,Malayalam
Voltaren Tablet 25mg,31.0,"ആർത്തവ വേദന, സന്ധി വേദന, നടുവേദന എന്നിവയ്ക്കുള്ള നേരിയതും മിതമായതുമായ വേദനയും വീക്കവും കുറയ്ക്കുന്നു.",നിർദ്ദേശിക്കുന്നതുപോലെ കഴിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,ഗുളികകൾ,Malayalam
Voltaren Retard 100mg Tablet,127.5,"വിട്ടുമാറാത്ത കോശജ്വലന അവസ്ഥകളുമായി ബന്ധപ്പെട്ട വേദന, നീർവീക്കം, സന്ധി കാഠിന്യം എന്നിവയിൽ നിന്ന് ദീർഘകാലാശ്വാസം നൽകുന്നു.",നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക. രോഗലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,വേദനയും പനിയും,സന്ധി വേദന,ഗുളികകൾ,Malayalam
Voltfast 50mg Sachets,70.5,"ആർത്തവ വേദന, മൈഗ്രേൻ ആക്രമണങ്ങൾ എന്നിവയുൾപ്പെടെ വിവിധ അവസ്ഥകളുമായി ബന്ധപ്പെട്ട വേദനയും വീക്കവും കുറയ്ക്കുന്നു.",നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക. രോഗലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,വേദനയും പനിയും,ആർത്തവ വേദന,സാച്ചെറ്റുകൾ,Malayalam
Motilone 10mg Tablet,4.5,"വയറ്റിലെ ചലനം വർദ്ധിപ്പിക്കുകയും ഓക്കാനം, ഛർദ്ദി, വയറുവേദന, വയറ്റിൽ നിന്ന് താഴേക്ക് പോകുവാൻ താമസം വരുന്നതുമൂലമുണ്ടാകുന്ന അസ്വസ്ഥത എന്നിവ ഒഴിവാക്കുകയും ചെയ്യുന്നു.",ഡോസേജിന്റെയും കാലയളവിൻ്റെയും കാര്യത്തിൽ നിങ്ങളുടെ ഡോക്ടറുടെ ഉപദേശം പാലിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,ദഹന ആരോഗ്യം,ദഹനക്കേട്,ഗുളികകൾ,Malayalam
Viscodril Syrup,6.0,"ആൻ്റിഹിസ്റ്റാമൈനിക്, ആൻ്റികോളിനെർജിക് പ്രവർത്തനത്തിലൂടെ ചുമയുടെ ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.",ഉറക്കം വരാൻ സാധ്യതയുണ്ട്. ഡ്രൈവിംഗ് അല്ലെങ്കിൽ മെഷിനറി പ്രവർത്തിപ്പിക്കുന്നത് ഒഴിവാക്കുക. മദ്യമോ മറ്റ് സിഎൻഎസ് വിഷാദികളോ ഒഴിവാക്കുക.,"ചുമ, ജലദോഷം & പനി",ചുമ,സിറപ്പ് / ലിക്വിഡ്,Malayalam
Salazopyrin EN 500mg Tablet,50.0,കുടൽ രോഗങ്ങളിലും റൂമറ്റോയ്ഡ് ആർത്രൈറ്റിസിലും വീക്കം കുറയ്ക്കുകയും രോഗപ്രതിരോധ പ്രതികരണം ഇല്ലാതാക്കുകയും ചെയ്യുന്നു.,കൃത്യമായി നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക. ശുപാർശിത ഡോസേജ് കവിയരുത്.,വേദനയും പനിയും,സന്ധി വേദന,ഗുളികകൾ,Malayalam
Finallerg 10mg Tablet,25.0,ഹിസ്റ്റാമിൻ തടഞ്ഞ് അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്ന പ്രകാരം കഴിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринит),ഗുളികകൾ,Malayalam
Finallerg 1mg/ml Oral Solution,13.0,"ഹേ ഫീവർ, പൊടിപടലങ്ങൾ, വളർത്തുമൃഗങ്ങളുടെ രോമം, മറ്റ് അലർജികൾ എന്നിവ മൂലമുണ്ടാകുന്ന അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.",നിങ്ങളുടെ ഡോക്ടറോ ഫാർമസിസ്റ്റോ നിർദ്ദേശിക്കുന്ന പ്രകാരം കഴിക്കുക. ശുപാർശിത പ്രതിദിന ഡോസ് കവിയരുത്.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринит),സിറപ്പ് / ലിക്വിഡ്,Malayalam
Capsidol Cream,38.0,സബ്സ്റ്റൻസ് പി-യുടെ പ്രാദേശിക പ്രകോപനത്തിലൂടെയും ശോഷണത്തിലൂടെയുംTopic വേദന സംഹാരിയായ ആശ്വാസം നൽകുന്നു.,ചൊറിച്ചിലും കത്തുന്ന സംവേദനവും ഉണ്ടാക്കാം. ചൊറിച്ചിൽ തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,വേദനയും പനിയും,പേശി വേദന,ക്രീം / ഓയിൻമെൻ്റ്,Malayalam
Gelomyrtol Forte Capsule,45.5,"കഫം നേർപ്പിക്കുകയും, സ്രവങ്ങളുടെ ഒഴിഞ്ഞുപോക്കിനെ പ്രോത്സാഹിപ്പിക്കുകയും സൈനസ് തടസ്സം ഒഴിവാക്കുകയും ചെയ്യുന്നു.",ഡോക്ടർ നിർദ്ദേശിച്ചില്ലെങ്കിൽ ശുപാർശിത ഡോസേജ് പിന്തുടരുക.,"ചുമ, ജലദോഷം & പനി",സൈനസ് പ്രഷർ,കാപ്സ്യൂളുകൾ,Malayalam
Ebastel 10mg Film-Coated Tablet,41.0,കാര്യമായ മയക്കം ഉണ്ടാക്കാതെ അലർജി ലക്ഷണങ്ങളെ കുറയ്ക്കുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്ന പ്രകാരം കഴിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринит),ഗുളികകൾ,Malayalam
Rumafen 1% Gel,13.5,ആഘാതത്തിൻ്റെയും റൂമാറ്റിക് അണുബാധയുടെയും കാര്യത്തിൽ വേദനയ്ക്കും വീക്കത്തിനും Topic വേദന സംഹാരിയായ ഫലം നൽകുന്നു.,ബാഹ്യ ഉപയോഗത്തിന് മാത്രം. കണ്ണുകളുമായോ ശ്ലേഷ്മ സ്തരങ്ങളുമായോ സമ്പർക്കം ഒഴിവാക്കുക.,വേദനയും പനിയും,പേശി വേദന,ജെൽ,Malayalam
Mobilat N Cream,15.5,"പേശികളിലെയും സന്ധികളിലെയും വേദന, നീർവീക്കം, വീക്കം എന്നിവ കുറയ്ക്കുന്നു.",ബാധിത പ്രദേശത്ത് നേരിയ പാളി 2-3 തവണ പുരട്ടുക. ചർമ്മത്തിൽ മൃദുവായി മസാജ് ചെയ്യുക. പൊട്ടിയ ചർമ്മത്തിൽ പുരട്ടരുത്.,വേദനയും പനിയും,പേശി വേദന,ക്രീം / ഓയിൻമെൻ്റ്,Malayalam
Aerius 5mg Tab,35.5,അലർജി വിരുദ്ധവും വീക്കം കുറയ്ക്കുന്നതുമായ ഫലങ്ങളോടുകൂടിയ അലർജി ലക്ഷണങ്ങളിൽ നിന്ന് 24 മണിക്കൂർ ആശ്വാസം നൽകുന്നു.,രോഗലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഒരു ഹെൽത്ത് കെയർ പ്രൊഫഷണലിനെ സമീപിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринит),ഗുളികകൾ,Malayalam
Diane-35 Tablet,25.0,"ഹോർമോൺ തകരാറുകൾ, കഠിനമായ മുഖക്കുരു, അമിതമായ രോമവളർച്ച എന്നിവ ചികിത്സിക്കുന്നു; കൂടാതെ ഒരു ഗർഭനിരോധന മാർഗ്ഗമായി പ്രവർത്തിക്കുന്നു.",ആരംഭിക്കുന്നതിനോ നിർത്തുമ്പോളോ നിങ്ങളുടെ ഡോക്ടറെ സമീപിക്കുക. ബ്ലിസ്റ്റർ പായ്ക്ക് സീക്വൻസ് പിന്തുടരുക. ഡോസുകൾ ഒഴിവാക്കരുത്.,സ്ത്രീകളുടെ & ലൈംഗിക ആരോഗ്യം,ഹോർമോൺ അസന്തുലിതാവസ്ഥ,ഗുളികകൾ,Malayalam
Gynera Tablet,20.5,ഗർഭം തടയുന്നതിനുള്ള സംയോജിത ഗർഭനിരോധന മാർഗ്ഗം ('ഗുളിക').,"നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്നതുപോലെ, ദിവസവും ഒരേ സമയം ഒരു ഗുളിക കഴിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.",സ്ത്രീകളുടെ & ലൈംഗിക ആരോഗ്യം,ഗർഭനിരോധനം,ഗുളികകൾ,Malayalam
Yaz Tablets,48.0,"ഗർഭധാരണം തടയുകയും മുഖക്കുരു, പിഎംഎസ്, ഹോർമോൺ അസന്തുലിതാവസ്ഥ എന്നിവ നിയന്ത്രിക്കുകയും ചെയ്യുന്ന Topic ഗർഭനിരോധന മാർഗ്ഗം.",നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്ന പ്രകാരം മാത്രം കഴിക്കുക. ശുപാർശിത ഡോസേജ് കവിയരുത്.,സ്ത്രീകളുടെ & ലൈംഗിക ആരോഗ്യം,ഗർഭനിരോധനം,ഗുളികകൾ,Malayalam
Fusiderm 2% Cream,10.0,"ഇംപെറ്റിഗോ, ഫോളികുലൈറ്റിസ്, ബാധിച്ച എക്സിമ തുടങ്ങിയ പ്രാഥമിക, ദ്വിതീയ ചർമ്മ രോഗങ്ങളെ ചികിത്സിക്കുന്നു.",ബാഹ്യ ഉപയോഗത്തിന് മാത്രം. കണ്ണുമായി സമ്പർക്കം ഒഴിവാക്കുക. പ്രകോപനം ഉണ്ടായാൽ ഡോക്ടറെ സമീപിക്കുക.,ചർമ്മ സംരക്ഷണം,രോഗബാധകൾ,ക്രീം/ലേപനം,Malayalam
Lorine 10mg Tablet,20.0,"തുമ്മൽ, മൂക്കൊലിപ്പ്, ചൊറിച്ചിലുള്ള കണ്ണുകൾ തുടങ്ങിയ അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.",ഉപയോഗ നിർദ്ദേശങ്ങൾക്കായി പാക്കേജ് ഇൻസേർട്ട് വായിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринитиസ്),ഗുളികകൾ,Malayalam
Rofenac 50mg,23.0,"പേശികളുടെ പ്രശ്നങ്ങൾ, ശസ്ത്രക്രിയക്ക് ശേഷമുള്ള വേദന, മൃദുവായ ടിഷ്യുവിന്റെ പരിക്കുകൾ എന്നിവയിലെ വേദന ഒഴിവാക്കുകയും വീക്കം കുറയ്ക്കുകയും ചെയ്യുന്നു.",നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം കഴിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,ഗുളികകൾ,Malayalam
Sapofen 400mg Tablet,10.0,"ആർത്തവ വേദന, പേശി വേദന എന്നിവയുൾപ്പെടെ വേദന, പനി, വീക്കം എന്നിവ ഒഴിവാക്കുന്നു.",കൃത്യമായി നിർദ്ദേശിച്ച പ്രകാരം എടുക്കുക. ശുപാർശിത പ്രതിദിന ഡോസ് കവിയരുത്.,വേദനയും പനിയും,ആർത്തവ വേദന,ഗുളികകൾ,Malayalam
Sapofen 600mg Tablet,16.5,"ആർത്തവ വേദന, പേശി വേദന എന്നിവയുൾപ്പെടെ വേദന, പനി, വീക്കം എന്നിവ ഒഴിവാക്കുന്നു.",കൃത്യമായി നിർദ്ദേശിച്ച പ്രകാരം എടുക്കുക. ശുപാർശിത പ്രതിദിന ഡോസ് കവിയരുത്.,വേദനയും പനിയും,ആർത്തവ വേദന,ഗുളികകൾ,Malayalam
Glycereze Adult 3g,18.0,കുടലിൽ വെള്ളം വർദ്ധിപ്പിച്ച് മലം മൃദുവാക്കുന്ന ഒരു മലബന്ധം.,Rectal ഉപയോഗത്തിന് മാത്രം. മലബന്ധം തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,ദഹന ആരോഗ്യം,മലബന്ധം,സപ്പോസിറ്ററികൾ,Malayalam
Glycereze Infant 1g,13.64,കുടലിലേക്ക് വെള്ളം വലിച്ചെടുത്ത് ഇടയ്ക്കിടെയുള്ള മലബന്ധം ഒഴിവാക്കുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം. പ്രതിദിന ശുപാർശിത ഡോസേജ് പരിധി കവിയരുത്.,കുട്ടികളുടെ ആരോഗ്യം,മലബന്ധം,സപ്പോസിറ്ററികൾ,Malayalam
Fexodine 120mg Tablet,17.0,ഹേ ഫീവറിൻ്റെയും വിട്ടുമാറാത്ത ഇഡിയൊപതിക് ഉർട്ടികാരിയയുടെയും (ചർമ്മത്തിലെ ചൊറിച്ചിലും hives) ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.,ലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഒരു ഹെൽത്ത് കെയർ പ്രൊഫഷണലിനെ സമീപിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринитиസ്),ഗുളികകൾ,Malayalam
Fexodine 180mg Tablet,17.0,"ഹിസ്റ്റാമിൻ പുറത്തുവിടുന്നത് തടഞ്ഞ് മൂക്കൊലിപ്പ്, ചൊറിച്ചിലുള്ള കണ്ണുകൾ/മൂക്ക്, കണ്ണിൽ നിന്ന് വെള്ളം വരുക, തുമ്മൽ, hives എന്നിവ ഒഴിവാക്കുന്നു.",ലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക. കുട്ടികൾക്ക് ലഭ്യമാകാതെ സൂക്ഷിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринитиസ്),ഗുളികകൾ,Malayalam
Tabiflex Cool 1% Emulsion Gel,13.5,"തണുപ്പിക്കുന്ന ജെൽ പേശികൾ, സന്ധികൾ, ലിഗമെന്റുകൾ എന്നിവയിലെ വീക്കം, ആർദ്രത, വേദന എന്നിവ കുറയ്ക്കുന്നു.",ബാഹ്യ ഉപയോഗത്തിന് മാത്രം. കണ്ണുമായി സമ്പർക്കം ഒഴിവാക്കുക. പ്രകോപനം ഉണ്ടായാൽ ഡോക്ടറെ സമീപിക്കുക.,വേദനയും പനിയും,പേശി വേദന,ജെൽ,Malayalam
Colpermin EC Capsule,26.0,"IBS ലക്ഷണങ്ങളായ പേശിവലിവ്, വയറുവേദന, വയറിലെ മലബന്ധം എന്നിവ ഒഴിവാക്കാൻ ക്ലിനിക്കലായി തെളിയിക്കപ്പെട്ട ഹെർബൽ മരുന്ന്.",പെപ്പർമിന്റ് ഓയിലിനോട് അലർജിയുണ്ടെങ്കിൽ ഉപയോഗിക്കരുത്. ലക്ഷണങ്ങൾ കൂടുതൽ വഷളായാൽ ഡോക്ടറെ സമീപിക്കുക.,ദഹന ആരോഗ്യം,ഗ്യാസ്/വയറുവേദന,കാപ്സ്യൂളുകൾ,Malayalam
Zyrtec 10mg Tablet,39.5,"മൂക്കൊലിപ്പ്, കണ്ണിൽ നിന്ന് വെള്ളം വരുക, തുമ്മൽ, ചർമ്മത്തിലെ ചൊറിച്ചിൽ, hives തുടങ്ങിയ അലർജി ലക്ഷണങ്ങളെ ഫലപ്രദമായി ചികിത്സിക്കുന്നു.",ഉറക്കം വരുത്തിയേക്കാം. നിങ്ങൾക്ക് വൃക്ക അല്ലെങ്കിൽ കരൾ പ്രശ്നങ്ങളുണ്ടെങ്കിൽ ഉപയോഗിക്കുന്നതിന് മുമ്പ് ഡോക്ടറെ സമീപിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринитиസ്),ഗുളികകൾ,Malayalam
Zyrtec 10mg/Ml Oral Drops,22.0,അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുകയും കഫം ഇളക്കുകയും ചെയ്തുകൊണ്ട് അലർജിയുമായി ബന്ധപ്പെട്ട ചുമയെ ചികിത്സിക്കുന്നു.,ചുമ തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക. കുട്ടികൾക്ക് ലഭ്യമാകാതെ സൂക്ഷിക്കുക.,കുട്ടികളുടെ ആരോഗ്യം,ചുമ,തുള്ളികൾ,Malayalam
Hylo-Comod 0.1% Eye Drop,61.0,വരണ്ടതും പ്രകോപിതവുമായ കണ്ണുകൾക്ക് തീവ്രവും ദീർഘകാലം നിലനിൽക്കുന്നതുമായ ഈർപ്പം നൽകുന്നു.,ഡ്രോപ്പർ കണ്ണിലോ മറ്റേതെങ്കിലും പ്രതലത്തിലോ സ്പർശിക്കുന്നില്ലെന്ന് ഉറപ്പാക്കുക. പ്രകോപനം തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിലെ തുള്ളിമരുന്ന്,Malayalam
Locoid 0.1% Ointment,28.0,"എക്സിമ, ഡെർമറ്റൈറ്റിസ് തുടങ്ങിയ അവസ്ഥകൾക്ക് ചർമ്മത്തിലെ വീക്കം, ചൊറിച്ചിൽ, ചുവപ്പ്, നീർവീക്കം എന്നിവ കുറയ്ക്കുന്നു.",നിർദ്ദേശിച്ച പ്രകാരം മാത്രം ഉപയോഗിക്കുക. ശുപാർശിത കാലാവധി കവിയരുത്. അവസ്ഥ വഷളായാൽ ഡോക്ടറെ സമീപിക്കുക.,ചർമ്മ സംരക്ഷണം,വീക്കം/പ്രകോപനം,ക്രീം/ലേപനം,Malayalam
Locoid 0.1% Scalp Lotion,28.0,"വീക്കം നിറഞ്ഞ തലയോട്ടിയിലെ അവസ്ഥകളുമായി ബന്ധപ്പെട്ട ചുവപ്പ്, നീർവീക്കം, ചൊറിച്ചിൽ, അസ്വസ്ഥത എന്നിവ കുറയ്ക്കുന്നു.",നിർദ്ദേശിച്ച പ്രകാരം മാത്രം ഉപയോഗിക്കുക. ശുപാർശിത കാലാവധി കവിയരുത്. കണ്ണുമായി സമ്പർക്കം ഒഴിവാക്കുക.,ചർമ്മ സംരക്ഷണം,വീക്കം/പ്രകോപനം,ദ്രാവകം,Malayalam
Lorine 10mg Tablet,13.0,"ഉറക്കം വരാത്ത ആൻ്റിഹിസ്റ്റാമൈൻ തുമ്മൽ, മൂക്കൊലിപ്പ്, ചൊറിച്ചിലുള്ള കണ്ണുകൾ തുടങ്ങിയ അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.",ശുപാർശിത ഡോസ് കവിയരുത്. ലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринитиസ്),ഗുളികകൾ,Malayalam
Dramylin Syrup,7.0,അലർജി ലക്ഷണങ്ങൾ കുറയ്ക്കുകയും കഫം ഇളക്കുകയും ചെയ്തുകൊണ്ട് ജലദോഷ ലക്ഷണങ്ങളോടൊപ്പമുള്ള ചുമയെ ശമിപ്പിക്കുന്നു.,ഉറക്കം വരുത്തിയേക്കാം. ചുമ തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,"ചുമ, ജലദോഷം & പനി",ചുമ,സിറപ്പ്/ദ്രാവകം,Malayalam
Ulcerbrex 20mg Tablet,97.0,"GERD, അൾസർ, മറ്റ് ആസിഡുമായി ബന്ധപ്പെട്ട അവസ്ഥകൾ എന്നിവ ചികിത്സിക്കാൻ ആമാശയത്തിലെ ആസിഡ് ഉത്പാദനം കുറയ്ക്കുന്നു.",നിങ്ങളുടെ ഡോക്ടർ ഉപദേശിച്ചതുപോലെ എടുക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,ദഹന ആരോഗ്യം,ആസിഡ് റിഫ്ലക്സ്/നെഞ്ചെരിച്ചിൽ,ഗുളികകൾ,Malayalam
Ivy Calm Syrup,42.0,"എല്ലാ പ്രായക്കാർക്കും അനുയോജ്യമായ ഐവി ഇല സത്തിൽ അടങ്ങിയ മ്യൂക്കോലൈറ്റിക്, സ്പാസ്മോലൈറ്റിക്, ചുമ ഒഴിവാക്കുന്ന സിറപ്പ്.",ഡോസേജ് നിർദ്ദേശങ്ങൾ ശ്രദ്ധാപൂർവ്വം പാലിക്കുക. ചുമ തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,"ചുമ, ജലദോഷം & പനി",ചുമ,സിറപ്പ്/ദ്രാവകം,Malayalam
Serodase 10mg Tablet,48.0,"വീക്കം കുറയ്ക്കുന്നു, വേദന കുറയ്ക്കുന്നു, രോഗശാന്തി വേഗത്തിലാക്കുന്നു.",നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിക്കുന്നതുപോലെ എടുക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,ഗുളികകൾ,Malayalam
Aceflam 100mg Tablet,25.0,പേശികളുടെ അവസ്ഥയിലെ വേദനയും വീക്കവും കുറയ്ക്കുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം കൃത്യമായി എടുക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,വേദനയും പനിയും,പേശി വേദന,ഗുളികകൾ,Malayalam
Creon 25000 300mg Capsule,192.0,"കൊഴുപ്പുകൾ, പ്രോട്ടീനുകൾ, കാർബോഹൈഡ്രേറ്റുകൾ എന്നിവയുടെ ദഹനം മെച്ചപ്പെടുത്തുന്നു.",നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം എടുക്കുക. ധാരാളം വെള്ളം കുടിക്കുക. ശുപാർശിത ഡോസേജ് കവിയരുത്.,ദഹന ആരോഗ്യം,ദഹനക്കേട്,കാപ്സ്യൂളുകൾ,Malayalam
Lekadol Plus C 500mg/300mg Sachets,38.0,"വേദന കുറയ്ക്കുന്നു, പനി കുറയ്ക്കുന്നു, വിറ്റാമിൻ സി ഉപയോഗിച്ച് ശരീരത്തിന്റെ പ്രതിരോധശേഷി വർദ്ധിപ്പിക്കുന്നു.","ഉപയോഗിക്കുന്നതിന് തൊട്ടുമുമ്പ് ഒരു ചൂടുള്ള പാനീയം തയ്യാറാക്കുക. ഒരു കപ്പിലേക്ക് ഉള്ളടക്കം ഒഴിക്കുക, 200 ml വെള്ളം ചേർക്കുക.","ചുമ, ജലദോഷം & പനി",ജലദോഷം,സാച്ചെറ്റുകൾ,Malayalam
Spedifen 600mg Oral Granules,21.5,വേദനയ്ക്കും വീക്കത്തിനും വേഗത്തിൽ ആശ്വാസം നൽകുന്നു.,വെള്ളത്തിൽ ലയിപ്പിച്ച് ഉടൻ കഴിക്കുക. നിർദ്ദേശിച്ച പ്രകാരം ഉപയോഗിക്കുക.,വേദനയും പനിയും,പേശി വേദന,സാച്ചെറ്റുകൾ,Malayalam
Gengigel First Aid Oral Fluid,90.25,വാക്കാലുള്ള ടിഷ്യൂകളുടെ രോഗശാന്തിയെ പിന്തുണയ്ക്കുകയും വേദനയിൽ നിന്നും വീക്കത്തിൽ നിന്നും ആശ്വാസം നൽകുകയും ചെയ്യുന്നു.,നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം മാത്രം എടുക്കുക. ശുപാർശിത ഉപയോഗം കവിയരുത്.,പ്രഥമശുശ്രൂഷ,വായ പരിചരണം,സ്പ്രേ,Malayalam
